UNIQUE_ID,PRODUCT_NAME,COMPANY,PRODUCT_TYPE,PRODUCT_CATEGORY,COST_PRICE,SELLING_PRICE,QUANTITY_DEMANDED
GSK01,A Masks,A,hygiene,mask,160,200,890
GSK02,"N hand sanitizer,350 ml",N,hygiene,sanitizer,248,400,800
GSK03,"G Channa Dal, 1kG",G,foodgrains&spices,pulses(dal),162,180,456
GSK04,"I Organic Raisins,100g",I,Organic food,Dry Fruits,77.14,133,100
GSK05,S Body oil,S,beauty products,bodycare,494.5,593.4,111
GSK06,S AloeverS Gel,S,beauty products,bodycare,445.05,534.06,111
GSK07,"S edible oil,1L",S,foodgrains&spices,edible oil,270,300,360
GSK08,G Organic Flour 1kg,G,Organic food,Flour,56.84,98,52
GSK09,"Z Organic Fennel,100 g",Z,Organic food,Whole Spices,56.84,98,27
GSK10,A mosquitto repellent,A,household,repellents,171,225,353
GSK11,"Z Dried Cranberries,100g",Z,Packed Food,Dry Fruits,125,143.75,500
GSK12,"I chocolate flavour Cornflakes, 1kg",I,Packed Food,Dry Fruits,515,592.25,188
GSK13,"E disinfectant spray,250 ml",E,hygiene,disinfectant,171.76,226,454
GSK14,"N hair oil,1L",N,hygiene,haircare,450,500,400
GSK15,A Body oil,A,beauty products,bodycare,516.26,619.512,119
GSK16,"J Almonds,100g",J,Packed Food,Dry Fruits,70,80.5,544
GSK17,"Z Organic Red chilly, 100 g",Z,Organic food,Whole Spices,32.48,56,22
GSK18,"Z Apricots,100g",Z,Packed Food,Dry Fruits,155,178.25,476
GSK19,A mosquitto coil,A,household,repellents,95,125,353
GSK20,"Z Organic Walnuts,100g",Z,Packed Food,Dry Fruits,217,249.55,426
GSK21,"G Cumin, 100 g",G,foodgrains&spices,Whole Spices,38.94,59,541
GSK22,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452
GSK23,B Kajal,B,beauty products,eye-makeup,203.82,244.584,292
GSK24,"Z Organic Hazel Nuts,100g",Z,Organic food,Dry Fruits,354.84,611.8,52
GSK25,"N strawberry flavour Oats, 1kg",N,Packed Food,Dry Fruits,367,422.05,306
GSK26,"J Organic Raisins,100g",J,Packed Food,Dry Fruits,70,80.5,544
GSK27,"G Cheese  Chiplets, 200 g (8 Cubes)",G,dairy products,cheese,181,211,441
GSK28,"E hand sanitizer,350 ml",E,hygiene,sanitizer,195.3,315,897
GSK29,"G Organic Peanut , 1 kg",G,Organic food,cereals,162.4,280,52
GSK30,"Z Organic Almonds,100g",Z,Organic food,Dry Fruits,306.12,527.8,220
GSK31,"G Cardamom, 100 g",G,foodgrains&spices,Whole Spices,203.94,309,291
GSK32,"T Red chilly, 100 g",T,foodgrains&spices,Whole Spices,16.5,25,575
GSK33,"H Fruit Juice  Mango, 2x1.5 L Multipack",H,beverage,fruit juice,168.72,222,355
GSK34,"Z Almonds,100g",Z,Packed Food,Dry Fruits,75,86.25,540
GSK35,S perfume,S,beauty products,bodycare,602,722.4,20
GSK36,B Lip balm,B,beauty products,bodycare,252.2,302.64,221
GSK37,"T Matar Dal, 1kg",T,foodgrains&spices,pulses(dal),72,80,536
GSK38,"S Bay Leaf, 100 g",S,foodgrains&spices,Whole Spices,19.8,30,570
GSK39,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452
GSK40,"J Organic Figs,100g",J,Organic food,Dry Fruits,357.28,616,38
GSK41,T Chakki attT 1kg,T,foodgrains&spices,grains,36,49.5,568
GSK42,S room freshner,S,household,freshners,272.08,358,231
GSK43,"G chocolate flavour Oats, 1kg",G,Packed Food,Dry Fruits,313,359.95,350
GSK44,"G Organic Bay Leaf, 100 g",G,Organic food,Whole Spices,40.6,70,22
GSK45,C facewash,C,beauty products,bodycare,253.08,303.696,245
GSK46,"Z Organic Ginger Candies,100g",Z,Packed Food,Dry Fruits,137,157.55,490
GSK47,"J Organic Walnuts,100g",J,Packed Food,Dry Fruits,210,241.5,432
GSK48,"N rice bran oil,1L",N,foodgrains&spices,edible oil,230.4,256,395
GSK49,A orange lipstick,A,beauty products,lipstick,537.5,645,23
GSK50,"Z Organic Bay Leaf, 100 g",Z,Organic food,Whole Spices,48.72,84,10
GSK51,"I Dates,100g",I,Packed Food,Dry Fruits,133,152.95,494
GSK52,"C Quick Washer Gel,1L",C,household,detergent,268.28,353,350
GSK53,"S Groundnut, 1kg",S,foodgrains&spices,cereals,225,250,400
GSK54,"I Organic Walnuts,100g",I,Packed Food,Dry Fruits,215,247.25,428
GSK55,"I Organic Figs,100g",I,Organic food,Dry Fruits,361.34,623,22
GSK56,"Z Figs,100g",Z,Packed Food,Dry Fruits,185,212.75,452
GSK57,"S Coriander, 100 g",S,foodgrains&spices,Powdered Spices,19.8,30,570
GSK58,"N orange flavour Cornflakes, 1kg",N,Packed Food,Dry Fruits,527,606.05,178
GSK59,"Z Organic Dates,100g",Z,Organic food,Dry Fruits,273.64,471.8,22
GSK60,"Z Walnuts,100g",Z,Packed Food,Dry Fruits,185,212.75,452
GSK61,"J Organic Figs,100g",J,Packed Food,Dry Fruits,220,253,424
GSK62,"J Organic Walnuts,100g",J,Organic food,Dry Fruits,349.16,602,23
GSK63,"G Fennel,100 g",G,foodgrains&spices,Whole Spices,32.34,49,551
GSK64,"J chocolate flavour Oats, 1kg",J,Packed Food,Dry Fruits,310,356.5,352
GSK65,B 3ply mask,B,hygiene,mask,12.8,16,1080
GSK66,"A disinfectant spray,250 ml",A,hygiene,disinfectant,167.2,220,450
GSK67,"C disinfectant spray,250 ml",C,hygiene,disinfectant,169.48,223,455
GSK68,"S Peanut , 1 kg",S,foodgrains&spices,cereals,135,150,480
GSK69,B perfume,B,beauty products,bodycare,602,722.4,20
GSK70,"I Organic Raisins,100g",I,Packed Food,Dry Fruits,75,86.25,540
GSK71,Z Organic Soyabean 1kg,Z,Organic food,cereals,292.32,504,22
GSK72,A baby milk,A,baby product,babycare,500.8,626,100
GSK73,"G Rice,1kG",G,foodgrains&spices,rice,63,66.15,644
GSK74,G Barley 1kG,G,foodgrains&spices,grains,94.5,105,516
GSK75,B baby diapers,B,baby product,babycare,536,670,300
GSK76,S brown lipstick,S,beauty products,lipstick,516,619.2,20
GSK77,"G Rajma, 1kG",G,foodgrains&spices,cereals,162,180,456
GSK78,S PRO ACTIVE health drink  2x400 g Multipack,S,beverage,healthdrink,912,1200,20
GSK79,G pet food,G,pet food,pet food,450,500,200
GSK80,S orange nailpolish,S,beauty products,nailpolish,401.6,481.92,110
GSK81,"T jowar, 1kg",T,foodgrains&spices,cereals,63,70,544
GSK82,"I Organic Hazel Nuts,100g",I,Organic food,Dry Fruits,353.22,609,80
GSK83,D Masks,D,hygiene,mask,280,350,600
GSK84,A perfume,A,beauty products,bodycare,623.5,748.2,45
GSK85,"G Bay Leaf, 100 g",G,foodgrains&spices,Whole Spices,25.74,39,561
GSK86,T Flour 1kg,T,foodgrains&spices,Flour,45,50,560
GSK87,A baby diapers,A,baby product,babycare,500.8,626,150
GSK88,"Z Organic Cloves, 100 g",Z,Organic food,Whole Spices,97.44,168,90
GSK89,A Eyeliner,A,beauty products,eye-makeup,219.56,263.472,212
GSK90,"I Organic Cashew Nuts,100g",I,Organic food,Dry Fruits,312.62,539,22
GSK91,S red nailpolish,S,beauty products,nailpolish,401.6,481.92,110
GSK92,B sanitary napkins,B,beauty products,bodycare,86,103.2,120
GSK93,"N chocolate flavour Oats, 1kg",N,Packed Food,Dry Fruits,317,364.55,346
GSK94,"Z Dates,100g",Z,Packed Food,Dry Fruits,155,178.25,476
GSK95,"G Corn flour,100g",G,foodgrains&spices,corn flour,19,36,150
GSK96,B bodyspray,B,beauty products,bodycare,387,464.4,180
GSK97,B Toothbrush,B,hygiene,oral care,180.12,237,342
GSK98,"I strawberry flavour Oats, 1kg",I,Packed Food,Dry Fruits,365,419.75,308
GSK99,"B Toothpaste, 100g",B,hygiene,oral care,117.8,155,333
GSK100,"J Organic Hazel Nuts,100g",J,Packed Food,Dry Fruits,230,264.5,350
GSK101,"I Organic Almonds,100g",I,Packed Food,Dry Fruits,155,178.25,476
GSK102,G Chakki attG 1kG,G,foodgrains&spices,grains,45,47.25,560
GSK103,"E Fruit juice apple Flavour, 2x1 L Multipack",E,beverage,fruit juice,278.16,366,223
GSK104,"B disinfectant spray,250 ml",B,hygiene,disinfectant,171,225,454
GSK105,"Z Organic Chola Dal, 1kg",Z,Organic food,pulses(dal),129.92,224,20
GSK106,"Z Organic Ginger Candies,100g",Z,Organic food,Dry Fruits,273.64,471.8,20
GSK107,"S Moong Dal, 1kg",S,foodgrains&spices,pulses(dal),63,70,544
GSK108,"Z Organic Raisins,100g",Z,Organic food,Dry Fruits,73.08,126,52
GSK109,"T Coriander, 100 g",T,foodgrains&spices,Powdered Spices,23.1,35,565
GSK110,"I Organic Dried Cranberries,100g",I,Organic food,Dry Fruits,288.26,497,90
GSK111,"A soft drink litchi flavour, 1L",A,beverage,soft drinks,72.2,95,302
GSK112,"G Coriander, 100 g",G,foodgrains&spices,Powdered Spices,25.74,39,561
GSK113,"Z Organic Matar Dal, 1kg",Z,Organic food,pulses(dal),81.2,140,22
GSK114,"I Organic Walnuts,100g",I,Organic food,Dry Fruits,353.22,609,27
GSK115,B mosquitto repellent,B,household,repellents,180.12,237,342
GSK116,"G strawberry flavour Oats, 1kg",G,Packed Food,Dry Fruits,363,417.45,310
GSK117,"D dishwash bar,100 g",D,household,dishwasher,49.4,65,423
GSK118,"T Cardamom, 100 g",T,foodgrains&spices,Whole Spices,201.3,305,295
GSK119,"B soft drink litchi flavour, 1L",B,beverage,soft drinks,117.8,155,222
GSK120,"Z Organic Channa Dal, 1kg",Z,Organic food,pulses(dal),89.32,154,62
GSK121,"T Turmeric, 100 g",T,foodgrains&spices,Powdered Spices,23.1,35,565
GSK122,"G Organic Turmeric, 100 g",G,Organic food,Powdered Spices,40.6,70,26
GSK123,"Z Organic Dried Cranberries,100g",Z,Packed Food,Dry Fruits,157,180.55,474
GSK124,"T ChannT Dal, 1kg",T,foodgrains&spices,pulses(dal),162,180,456
GSK125,S mosquitto spray,S,household,repellents,218.88,288,311
GSK126,"N sugar,1kg",N,foodgrains&spices,sugar&salt,66,69.3,300
GSK127,B Bodywash,B,beauty products,bodycare,203.68,244.416,321
GSK128,A red lipstick,A,beauty products,lipstick,537.5,645,18
GSK129,"B soft drink orange flavour, 1L",B,beverage,soft drinks,117.8,155,222
GSK130,"T Kalonji,100 g",T,foodgrains&spices,Whole Spices,36.3,55,545
GSK131,B Masks,B,hygiene,mask,200,250,800
GSK132,B Eyeliner,B,beauty products,eye-makeup,252.2,302.64,221
GSK133,"I Organic Ginger Candies,100g",I,Packed Food,Dry Fruits,135,155.25,492
GSK134,"Z Organic Toor Dal, 1kg",Z,Organic food,pulses(dal),154.28,266,55
GSK135,"G Organic Coriander, 100 g",G,Organic food,Powdered Spices,40.6,70,25
GSK136,B Hair oil,B,beauty products,haircare,450,540,101
GSK137,"I Cashew Nuts,100g",I,Packed Food,Dry Fruits,153,175.95,478
GSK138,A blue nailpolish,A,beauty products,nailpolish,404.9,485.88,111
GSK139,B brown lipstick,B,beauty products,lipstick,576.2,691.44,10
GSK140,A 3ply mask,A,hygiene,mask,12,15,1100
GSK141,"A soft drink  coke, 1L",A,beverage,soft drinks,72.2,95,302
GSK142,"J Walnuts,100g",J,Packed Food,Dry Fruits,180,207,456
GSK143,T Soyabean 1kg,T,foodgrains&spices,cereals,216,240,408
GSK144,S orange lipstick,S,beauty products,lipstick,516,619.2,14
GSK145,S Moisturizer,S,beauty products,bodycare,553.84,664.608,81
GSK146,"J Organic Raisins,100g",J,Organic food,Dry Fruits,77.14,133,52
GSK147,"S Red chilly powder, 100 g",S,foodgrains&spices,Powdered Spices,33,50,200
GSK148,"D disinfectant spray,250 ml",D,hygiene,disinfectant,171,225,454
GSK149,B Body oil,B,beauty products,bodycare,548.9,658.68,91
GSK150,A deodorant,A,beauty products,bodycare,279.5,335.4,201
GSK151,"I Organic Dates,100g",I,Organic food,Dry Fruits,272.02,469,20
GSK152,G Organic Barley 1kg,G,Organic food,grains,97.44,168,30
GSK153,"G Organic Tamarind, 100 g",G,Organic food,Whole Spices,48.72,84,70
GSK154,"G Organic Matar Dal, 1kg",G,Organic food,pulses(dal),73.08,126,125
GSK155,S Soap,S,beauty products,bodycare,151.24,181.488,301
GSK156,"S handwash, 750 ml",S,hygiene,handwash,196.08,258,551
GSK157,G Soyabean 1kG,G,foodgrains&spices,cereals,225,250,400
GSK158,"H Fruit Juice  Litchi, 3x1 L Multipack ",H,beverage,fruit juice,243.96,321,255
GSK159,A pink nailpolish,A,beauty products,nailpolish,404.9,485.88,111
GSK160,A Aloevera Gel,A,beauty products,bodycare,447.03,536.436,110
GSK161,"S jowar, 1kg",S,foodgrains&spices,cereals,63,70,544
GSK162,Z pet food,Z,pet food,pet food,450,500,200
GSK163,S Dishwasher Gel 2L,S,household,dishwasher,277.4,365,223
